Index,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,Company
2022,EUR,0000937966,2022-12-31,2022-12-30 19:00:00,2022,FY,7268300000,107700000,7376000000,6845800000,7199700000,1643400000,23064900000,4136900000,4555600000,842400000,5398000000,923600000,1672800000,1104200000,13235500000,0,36300400000,0,0,0,0,17983600000,17983600000,3514200000,5269900000,267000000,454900000,9506000000,0,0,27489600000,0,0,0,0,0,8810800000,8810800000,36300400000,0,36300400000,1031300000,3514200000,-3754100000,,,ASML
2021,EUR,0000937966,2021-12-31,2021-12-30 19:00:00,2021,FY,6951800000,638500000,7590300000,4556900000,5179200000,863800000,18190200000,3147500000,4555600000,952100000,5507700000,892500000,1098700000,1394400000,12040800000,0,30231000000,2116300000,509100000,301900000,7935200000,1435500000,12298000000,4075000000,3225700000,240600000,251100000,7792400000,0,0,20090400000,0,36500000,8317300000,333500000,1453300000,10140600000,10140600000,30231000000,0,30231000000,1531000000,4584100000,-2367700000,,,ASML
2020,EUR,0000937966,2021-02-10,2021-02-10 06:17:20,2020,FY,6049400000,1302200000,7351600000,3332900000,4569400000,676100000,15930000000,2815200000,4629100000,1048900000,5678000000,820700000,671500000,1352000000,11337400000,0,27267400000,1377900000,15400000,110000000,3954200000,1146000000,6603500000,4662800000,1639900000,238300000,257500000,6798500000,0,0,13402000000,0,37600000,10731500000,179400000,2916900000,13865400000,13865400000,27267400000,0,27267400000,2122900000,4678200000,-1371200000,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/0000937966-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/form6-kannualreportbasedon.htm,ASML
2019,EUR,0000937966,2020-02-12,2020-02-12 06:22:29,2019,FY,3532300000,1185800000,4718100000,2850500000,3809200000,753300000,12131100000,2323200000,4541100000,1104400000,5645500000,833000000,445300000,1251500000,10498500000,0,22629600000,1062200000,0,65600000,2526400000,1039900000,4694100000,3108300000,1759600000,234400000,241000000,5343300000,0,0,10037400000,0,38200000,9523800000,277800000,2752400000,12592200000,12592200000,22629600000,0,22629600000,2018800000,3108300000,-424000000,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,ASML
2018,EUR,0000937966,2019-02-06,2019-02-05 19:00:00,2018,FY,3121100000,913300000,4034400000,2400900000,3439500000,656600000,10531400000,1727100000,4541100000,1104000000,5645100000,915800000,236300000,1081200000,9605500000,0,20136900000,964000000,0,187900000,1728600000,911400000,3791900000,3026500000,1224600000,251200000,201700000,4704000000,0,0,8495900000,0,38600000,9197900000,285000000,2119500000,11641000000,11641000000,20136900000,0,20136900000,1829100000,3026500000,-94600000,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,ASML
2017,EUR,0000937966,2018-02-07,2018-02-06 19:00:00,2017,FY,2259000000,1029300000,3288300000,1965700000,2958400000,794600000,9007000000,1600800000,4541100000,1166000000,5707100000,982200000,31700000,867600000,9189400000,0,18196400000,837300000,25200000,152000000,0,2327400000,3341900000,3000100000,0,327900000,850300000,4178300000,0,0,7520200000,0,38800000,7211300000,251500000,3174600000,10676200000,10676200000,18196400000,0,18196400000,2011500000,3025300000,766300000,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/0000937966-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/a2017integratedreportbased.htm,ASML
2016,EUR,0000937966,2017-02-08,2017-02-07 19:00:00,2016,FY,2906868000,1150000000,4056868000,1220777000,2780878000,498906000,8557429000,1687237000,4873894000,1322924000,6196818000,0,34940000,729537000,8648532000,0,17205961000,593197000,247672000,201930000,0,2237797000,3280596000,3071793000,0,396837000,636254000,4104884000,0,0,7385480000,0,39391000,6282504000,601172000,2897414000,9820481000,9820481000,17205961000,0,17205961000,0,3319465000,412597000,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/0000937966-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/a20-fasml2016.htm,ASML
2015,EUR,0000937966,2016-02-05,2016-02-04 19:00:00,2015,FY,2458717000,950000000,3408717000,1164631000,2573730000,560623000,7707701000,1620678000,2624552000,738170000,3362722000,0,29012000,574918000,5587330000,0,13295031000,418894000,4211000,3654000,0,2680413000,3107172000,1125474000,0,256740000,416814000,1799028000,0,0,4906200000,0,38786000,5284315000,472320000,2593410000,8388831000,8388831000,13295031000,0,13295031000,0,1129685000,-1329032000,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/0000937966-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/a20-fasml2015.htm,ASML
2014,EUR,0000937966,2015-02-11,2015-02-10 19:00:00,2014,FY,2419487000,334864000,2754351000,1333588000,2549837000,508430000,7146206000,1447523000,2357536000,723839000,3081375000,0,28760000,500081000,5057739000,0,12203945000,496236000,4261000,36293000,0,2352081000,2888871000,1149876000,0,237315000,415293000,1802484000,0,0,4691355000,0,39426000,4648541000,212016000,2612607000,7512590000,7512590000,12203945000,0,12203945000,0,1154137000,-1265350000,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/0001193125-15-042676-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/d737660d20f.htm,ASML
2013,EUR,0000937966,2014-02-12,2014-02-11 19:00:00,2013,FY,2330694000,679884000,3010578000,1257212000,2393022000,364766000,7025578000,1217840000,2088589000,697634000,2786223000,0,139513000,344576000,4488152000,0,11513730000,625870000,4385000,15803000,0,2222603000,2868661000,1070185000,0,364695000,287762000,1722642000,0,0,4591303000,0,40092000,4376613000,-42438000,2548160000,6922427000,6922427000,11513730000,0,11513730000,0,1074570000,-1256124000,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/0001193125-14-046822-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/d546896d20f.htm,ASML
