Index,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,Company
2022,EUR,0000937966,2022-12-31,2022-12-30 19:00:00,2022,FY,5624200000,583600000,-564200000,68900000,2441200000,0,0,0,0,333100000,8486800000,-1281800000,0,-334300000,864700000,-277500000,-1028900000,-516200000,81800000,-4639700000,-2559800000,495600000,-7138300000,-3100000,316500000,7268300000,6951800000,8486800000,-1319300000,7167500000,,,ASML
2021,EUR,0000937966,2021-12-31,2021-12-30 19:00:00,2021,FY,5883200000,471000000,-419600000,117500000,4892400000,-1754900000,-483200000,718600000,5744200000,-98700000,10845800000,-900700000,329000000,-1162700000,1826400000,-164000000,-72000000,-12100000,49000000,-8560300000,-1368300000,0,-9891700000,20300000,902400000,6951800000,6049400000,10845800000,-940300000,9905500000,,,ASML
2020,EUR,0000937966,2021-02-10,2021-02-10 06:17:20,2020,FY,3553700000,490800000,-211300000,53900000,531600000,507500000,-706700000,334300000,1549500000,208900000,4627600000,-962000000,-222800000,-1475500000,1359100000,-51000000,-1352200000,-3300000,37900000,-1207500000,-1066400000,1486300000,-753000000,-5300000,2517100000,6049400000,3532300000,4627600000,-1000800000,3626800000,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/0000937966-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/form6-kannualreportbasedon.htm,ASML
2019,EUR,0000937966,2020-02-12,2020-02-12 06:22:29,2019,FY,2592300000,448500000,-236800000,74600000,111600000,-255000000,-404700000,-12100000,995700000,286200000,3276400000,-766600000,0,-1291500000,1019000000,-118400000,-1157500000,-3800000,27200000,-410000000,-1325700000,0,-1712300000,4600000,411200000,3532300000,3121100000,3276400000,-885900000,2390500000,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,ASML
2018,EUR,0000937966,2019-02-06,2019-02-05 19:00:00,2018,FY,2591600000,422700000,-238500000,46300000,-59400000,201200000,-515700000,97900000,988400000,310000000,3072700000,-574000000,0,-920500000,1034100000,-31100000,-491500000,-2800000,21800000,-1146200000,-597100000,0,-1724300000,5200000,862100000,3121100000,2259000000,3072700000,-609500000,2463200000,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,ASML
2017,EUR,0000937966,2018-02-07,2018-02-06 19:00:00,2017,FY,2118500000,417500000,-7600000,53100000,-939300000,-1142400000,-237800000,266500000,-151800000,156400000,1798600000,-338900000,-1019700000,-1102300000,1250000000,1600000,-1209300000,-243000000,50600000,-500000000,-516700000,0,-1209100000,-28100000,-647900000,2259000000,2906900000,1798600000,-358000000,1440600000,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/0000937966-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/a2017integratedreportbased.htm,ASML
2016,EUR,0000937966,2017-02-08,2017-02-07 19:00:00,2016,FY,1471894000,356928000,-580000,47701000,-294932000,187427000,-43662000,50917000,0,84895000,1665906000,-316338000,-2641295000,-2535034000,2320000000,-15811000,-3188478000,-4739000,582742000,-400000000,-445865000,2231501000,1963639000,7084000,448151000,2906868000,2458717000,1665906000,-324722000,1341184000,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/0000937966-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/a20-fasml2016.htm,ASML
2015,EUR,0000937966,2016-02-05,2016-02-04 19:00:00,2015,FY,1387174000,296884000,45349000,59070000,17515000,243097000,-87777000,-77090000,0,219588000,2025580000,-371770000,0,-1121899000,334864000,-1108000,-1159913000,-3639000,33230000,-564887000,-302310000,3660000,-833946000,7509000,39230000,2458717000,2419487000,2025580000,-372878000,1652702000,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/0000937966-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/a20-fasml2015.htm,ASML
2014,EUR,0000937966,2015-02-11,2015-02-10 19:00:00,2014,FY,1196640000,254644000,-59050000,63380000,-607392000,-164850000,-293404000,-136192000,0,176984000,1025206000,-358280000,0,-504756000,849776000,-2952000,-16212000,-4128000,39679000,-700000000,-267962000,3972000,-928439000,8238000,88793000,2419487000,2330694000,1025206000,-361232000,663974000,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/0001193125-15-042676-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/d737660d20f.htm,ASML
2013,EUR,0000937966,2014-02-12,2014-02-11 19:00:00,2013,FY,1015490000,228775000,-22658000,52371000,-401599000,-192149000,-518121000,321486000,0,181794000,1054173000,-210804000,-443712000,-904856000,1195031000,-4000000,-368341000,-372403000,31822000,-300000000,-216085000,743555000,-113111000,-9623000,563098000,2330694000,1767596000,1054173000,-214804000,839369000,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/0001193125-14-046822-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/d546896d20f.htm,ASML
