Index,symbol,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,Company
2022,ASML,510.0644,409800000,209024391120,7268300000,3514200000,205270291120,ASML
2021,ASML,702.99162,409800000,288085965876,6951800000,4584100000,285718265876,ASML
2020,ASML,400.759524,418300000,167637708889.2,6049400000,4678200000,166266508889.2,ASML
2019,ASML,264.1915568,420800000,111171807101.44,3532300000,3108300000,110747807101.44,ASML
2018,ASML,135.9371824,424900000,57759708801.76,3121100000,3026500000,57665108801.76,ASML
2017,ASML,144.6373602,429800000,62165137413.96,2259000000,3025300000,62931437413.96,ASML
2016,ASML,106.09632,425600000,45154593792,2906868000,3319465000,45567190792,ASML
2015,ASML,81.6879294,430600000,35174822399.64,2458717000,1129685000,33845790399.64,ASML
2014,ASML,89.4590029,437142000,39106287445.7118,2419487000,1154137000,37840937445.7118,ASML
2013,ASML,68.164876,429770000,29295218758.520004,2330694000,1074570000,28039094758.520004,ASML
2012,ASML,48.55006,424100000,20590080446,1767596000,759490000,19581974446,ASML
2011,ASML,41.889840768,327725860,13728384090.95586,2731782000,736368000,11732970090.95586,ASML
2010,ASML,37.434273882,335027000,12541492475.864813,1949834000,710060000,11301718475.864813,ASML
2009,ASML,30.901459146,333113550,10293694756.304028,1037074000,663102000,9919722756.304028,ASML
2008,ASML,16.786537425000002,332347400,5578962068.201446,1111814326.7,718788962.5,5185936704.001446,ASML
2007,ASML,27.831057632000004,356052620,9909320987.244596,1273640013.9,604172594.95,9239853568.294598,ASML
2006,ASML,27.222595245999997,325015329,8847760750.112526,1655855726,388838173.41,7580743197.522526,ASML
2005,ASML,24.776189952,331341650,8209383659.409101,1903163392.55,382267262.67,6688487529.5291,ASML
2004,ASML,17.146818243,330846796,5672969877.290899,1227222890,816729051.12,5262476038.410899,ASML
2003,ASML,23.267558892,330066530,7679842425.053084,1026012216.74,858563994.22,7512394202.533085,ASML
2002,ASML,4.9849729919681245,326388325,1627036985.0187147,668318813.97,1083774662.2,2042492833.2487147,ASML
2001,ASML,10.166721233620303,318859435,3241754988.354673,912263136.17,1538105676.21,3867597528.394673,ASML
2000,ASML,13.452271614612325,286495475,3854014946.057375,711165399.76,819296135.2,3962145681.4973745,ASML
1999,ASML,22.61921556950363,284865128,6443425738.466245,603031772,789069260,6629463226.466245,ASML
1998,ASML,6.062267793274603,327476471,1985250063.1985245,150068160,270719550,2105901453.1985245,ASML
1997,ASML,6.708247148281965,320438462,2149580398.911359,34545420,0,2115034978.9113588,ASML
1996,ASML,2.475094744138731,313215119,775237094.8216872,61224414,0,714012680.8216872,ASML
1995,ASML,1.652216427270552,300666667,496766406.3500848,33536130,8812983,472043259.3500848,ASML
2022,AMD,64.77,1561000000,101105970000,4835000000,2863000000,99133970000,AMD
2021,AMD,146.14,1213000000,177267819999.99997,2535000000,661000000,175393819999.99997,AMD
2020,AMD,91.81,1184000000,108703040000,1595000000,531000000,107639040000,AMD
2019,AMD,46.18,1091000000,50382380000,1466000000,728000000,49644380000,AMD
2018,AMD,17.82,982000000,17499240000,1078000000,1250000000,17671240000,AMD
2017,AMD,10.28,952000000,9786560000,1185000000,1395000000,9996560000,AMD
2016,AMD,11.34,835000000,9468900000,1264000000,1435000000,9639900000,AMD
2015,AMD,2.92,783000000,2286360000,785000000,2262000000,3763360000,AMD
2014,AMD,2.65,768000000,2035200000,805000000,2212000000,3442200000,AMD
2013,AMD,3.87,754000000,2917980000,869000000,2058000000,4106980000,AMD
2012,AMD,2.28,741000000,1689479999.9999998,549000000,2042000000,3182480000,AMD
2011,AMD,5.4,727000000,3925800000.0000005,869000000,2016000000,5072800000,AMD
2010,AMD,8.04,711000000,5716439999.999999,606000000,2421000000,7531439999.999999,AMD
2009,AMD,9.91,673000000,6669430000,1657000000,4560000000,9572430000,AMD
2008,AMD,2.18,607000000,1323260000,933000000,4988000000,5378260000,AMD
2007,AMD,7.32,558000000,4084560000,1432000000,5269000000,7921560000,AMD
2006,AMD,20.35,492000000,10012200000,1380000000,3797000000,12429200000,AMD
2005,AMD,30.5,400004000,12200122000,633067000,1370290000,12937345000,AMD
2004,AMD,21.9,358886000,7859603399.999999,918377000,1859096000,8800322400,AMD
2003,AMD,15.28,346934000,5301151520,1185804000,2092940000,6208287520,AMD
2002,AMD,6.35,342334000,2173820900,428748000,1941526000,3686598900,AMD
2001,AMD,15.86,332407000,5271975020,427000000,736000000,5580975020,AMD
2000,AMD,13.81,309331000,4271861110,591457000,1297543000,4977947110,AMD
