Index,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Company
2022,EUR,0000937966,2022-12-31,2022-12-30 19:00:00,2022,FY,21173400000,10473300000,10700100000,0.5053557765876052,3253500000,0,0,945900000,0,4199400000,14672700000,0,-44600000,583600000,6995100000,0.3303720706169061,6500700000,0.3070220181926379,-44600000,6456100000,0.3049156016511283,969900000,5486200000,0.2591081262338595,13.387506100536847,13.367933723196881,409800000,410400000,,,ASML
2021,EUR,0000937966,2021-12-31,2021-12-30 19:00:00,2021,FY,18611000000,8802000000,9809000000,0.5270538928590618,2547000000,0,0,725600000,0,3272600000,12074600000,10000000,54600000,471000000,7430200000,0.39923701037021114,6750100000,0.36269410563645155,-44600000,6705500000,0.3602976734189458,1021400000,5883200000,0.3161141260544839,14.36,14.34,409800000,410400000,,,ASML
2020,EUR,0000937966,2021-02-10,2021-02-10 06:17:20,2020,FY,13978500000,7181300000,6797200000,0.4862610437457524,2200800000,0,0,544900000,0,2745700000,9927000000,8400000,43400000,490800000,4639400000,0.3318954108094574,4051500000,0.28983796544693635,-34900000,4016600000,0.28734127409950994,551500000,3553700000,0.25422613298994884,8.49,8.48,418300000,419100000,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/0000937966-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000009/form6-kannualreportbasedon.htm,ASML
2019,EUR,0000937966,2020-02-12,2020-02-12 06:22:29,2019,FY,11820000000,6540200000,5279800000,0.44668358714043993,1968500000,0,0,520500000,0,2489000000,9029200000,11600000,36600000,448500000,3250900000,0.2750338409475465,2790800000,0.2361082910321489,-25000000,2765800000,0.2339932318104907,191700000,2574100000,0.21777495769881558,6.13,6.12,420800000,421600000,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,ASML
2018,EUR,0000937966,2019-02-06,2019-02-05 19:00:00,2018,FY,10944000000,5914800000,5029200000,0.45953947368421055,1575900000,0,0,488000000,0,2063900000,7978700000,13500000,41800000,422700000,3401500000,0.3108095760233918,2965300000,0.2709521198830409,-28300000,2937000000,0.26836622807017546,351600000,2585400000,0.2362390350877193,5.94,5.92,424900000,426400000,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,ASML
2017,EUR,0000937966,2018-02-07,2018-02-06 19:00:00,2017,FY,9052800000,4976100000,4076700000,0.4503247613997879,1259700000,0,0,416600000,0,1676300000,6652400000,0,-50300000,417500000,2813100000,0.3107436373276776,2496200000,0.2757378932484977,-50300000,2445900000,0.2701816012725345,310700000,2135200000,0.23586072817249912,4.93,4.91,429800000,431600000,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/0000937966-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796618000007/a2017integratedreportbased.htm,ASML
2016,EUR,0000937966,2017-02-08,2017-02-07 19:00:00,2016,FY,6794752000,3750272000,3044480000,0.44806344661291536,1105763000,0,0,374760000,0,1480523000,5230795000,0,33644000,356928000,2081950000,0.30640559066762113,1657734000,0.24397270128475623,33644000,1691378000,0.2489241697121543,219484000,1471894000,0.21662218135408032,3.46,3.44,425600000,427700000,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/0000937966-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796617000007/a20-fasml2016.htm,ASML
2015,EUR,0000937966,2016-02-05,2016-02-04 19:00:00,2015,FY,6287375000,3391631000,2895744000,0.46056486212449554,1068077000,0,0,345732000,0,1413809000,4805440000,0,-16515000,296884000,1828989000,0.29089866597745484,1565135000,0.2489329807749657,-16515000,1548620000,0.24630628839539553,161446000,1387174000,0.22062848167955626,3.22,3.21,430600000,432600000,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/0000937966-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796616000017/a20-fasml2015.htm,ASML
2014,EUR,0000937966,2015-02-11,2015-02-10 19:00:00,2014,FY,5856277000,3259903000,2596374000,0.443348905798001,1074035000,0,0,321110000,0,1395145000,4655048000,14526000,11913000,254644000,1540192000,0.26299848863023384,1282235000,0.2189505380295365,-8600000,1273635000,0.21748202825788465,76995000,1196640000,0.20433459687784578,3.24,3.23,437142000,439693000,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/0001193125-15-042676-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312515042676/d737660d20f.htm,ASML
2013,EUR,0000937966,2014-02-12,2014-02-11 19:00:00,2013,FY,5245326000,3068064000,2177262000,0.4150861166684397,882029000,0,0,311741000,0,1193770000,4261834000,9187000,28010000,228775000,1280262000,0.2440767265943051,1047948000,0.1997870103783826,-24471000,1023477000,0.19512171407458756,7987000,1015490000,0.19359902511302443,2.78,2.75,429770000,433446000,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/0001193125-14-046822-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312514046822/d546896d20f.htm,ASML
2012,EUR,0000937966,2013-02-13,2013-02-12 19:00:00,2012,FY,4731555000,2726298000,2005257000,0.42380507042610727,589182000,0,0,259301000,0,848483000,3574781000,16585000,22781000,186620000,1359979000,0.2874274947665197,1156774000,0.24448072568109216,-6196000,1150578000,0.24317121960962093,4262000,1146316000,0.2422704586547129,2.7,2.68,424100000,427000000,https://www.sec.gov/Archives/edgar/data/937966/000119312513053249/0001193125-13-053249-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000119312513053249/d347771d20f.htm,ASML
