Index,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,Company
2022,FY,51.66764275256222,13.387506100536847,20.709614446071253,17.490239141044412,17.99902391410444,21.50024402147389,8.327964860907759,21.50024402147389,8.466569058077111,209024391120,205270291120,38.1000311909883,9.87202769134858,24.629352773719187,29.162803086152774,23.723656321786898,23.723656321786898,9.694725038019401,29.34486871095481,24.187007013244095,28.63903608231601,0.02624669767295433,0.03429025656572859,3.1199891042811094,0.7572809115051073,-0.5366756729710798,1.2825518806023266,-145.7556053811659,1.5089790547989048,0.012246417684960173,0.46658889577485324,0,0.15365978066819688,0.14870359555266607,-0.15545317434133007,-0.062309312628108855,-2.260623714873201,0.0032540829531393163,80.47533522770522,0.35490369496855345,0.17753313658486072,-27.768179599804782,5081300000,3412800000,-4424700000,0.39885140963363147,5701350000,1058150000,6189450000,118.01208119621789,0,250.91332244851193,3.0929036781676356,0,1.4546856119004958,0.6226676351750124,-3.2193753050268423,ASML
2021,FY,45.41483650561249,14.356271351878965,26.46608101512933,24.17154709614446,18.521961932650072,24.74524158125915,11.305270863836018,24.74524158125915,11.31942410932162,288085965876,285718265876,48.96756286986674,15.47933834162592,26.561983982371057,29.083435048811268,28.409163745340514,28.409163745340514,15.352117880608242,38.45364403057791,26.343678278780725,28.844406226439858,0.02042168205629388,0.034383833901383436,1.981184545293178,0.6645628659323212,-0.3186589862991575,1.479118555862742,123.62820512820512,1.8435205330432418,0.004749623938949367,0.23257750883872721,0,0.13685454838536348,0.1821871588766498,-0.08669715465894633,-0.050523883724678954,-1.9963906581740976,0.006313470528182258,89.40420327472296,0.37640662465845093,0.23796176076818223,-15.843887262079063,5892200000,4632900000,-1900200000,0.4520541190856557,3944900000,1747100000,4874300000,89.37018429960776,87.75840718018632,214.77027948193592,4.08413614518642,4.159145678779001,1.6994902687673772,0.5801629094925349,-2.294533918984871,ASML
2020,FY,33.4174037771934,8.495577336839588,11.0628735357399,8.670332297394214,17.574946210853454,33.14702366722448,19.573033707865168,33.14702366722448,11.287592636863495,167637708889.2,166266508889.2,47.17272389036779,11.992539177250778,36.22562643469617,46.221933629976846,12.090362260677658,12.090362260677658,11.89444567651751,35.83793354511359,35.9293173327859,45.84385929447447,0.021198691055535807,0.021634750462958964,0.9665786778599968,0.491502673522228,-0.2955554597577273,2.412357083364882,93.35253456221199,1.302192081492529,0.006361337237702503,0.30008160508765513,0,0.15744178559931324,0.20823400837630285,-0.21626761172097847,-0.07159566477089817,-2.039119804400978,0.00385592159387631,79.59943353219637,0.19606657020213997,0.16460392600072257,-3.026595744680851,9326500000,8187400000,2528000000,0.33740101259249644,3091700000,1220050000,4189300000,87.02711306649498,70.03376825922884,232.24638992939998,4.194095232380209,5.211771536395965,1.571606775506631,0.2562998543136152,-2.392541238345685,ASML
2019,FY,28.0893536121673,6.117157794676806,7.7861216730038025,5.680846007604563,11.212214828897338,29.924429657794676,16.508317490494296,29.924429657794676,7.4736216730038025,111171807101.44,110747807101.44,43.18861236993124,9.405398231932319,33.93108506331339,46.50567124092868,8.828624632823495,8.828624632823495,9.369526827532995,34.06681445182565,33.80167473490416,46.32830248962142,0.02315425166788224,0.02150275382155802,0.7971124982131795,0.4435518082511401,-0.13042542065274232,2.584329264395731,76.25136612021858,1.2638969255101646,0.011924785919782249,0.5150149566838895,0,0.16653976311336718,0.24947414006434052,-0.2703882309852277,-0.0749492385786802,-1.9752508361204013,0.006311336717428088,64.17694529953744,0.15560201834350867,0.15155939967381257,-3.0342799429657794,7437000000,6946700000,2093700000,0.2468432839376757,2625700000,1013100000,3624350000,88.02305414551607,59.27999143757072,212.58646524571117,4.146640940185932,6.157220862361137,1.7169484406174524,0.20442019662965963,-2.1052756653992395,ASML
2018,FY,25.75664862320546,6.084725817839492,7.23158390209461,5.797128736173217,9.49493998587903,27.39703459637562,14.111320310661332,27.39703459637562,7.221228524358673,57759708801.76,57665108801.76,22.340724376019185,5.277751169751462,18.797705210974065,23.44905358954206,4.961748028671076,4.961748028671076,5.2691071639035085,16.95284692099368,18.76691795546588,23.410648263137382,0.0447613059974641,0.042645644361782926,0.7298256163559832,0.4219070462682935,-0.02781125973835073,2.777341174609035,70.9401913875598,1.1856382157740393,0.010337655995623815,0.23095072329233388,0,0.1439967105263158,0.2803360993996097,-0.19835974875516646,-0.05569261695906433,-1.441920984149515,0.00423062865497076,61.24399957684174,0.1814193943101866,0.17840433900550656,-2.214815250647211,6739500000,5995900000,2035500000,0.25998625547633364,2183300000,900650000,3198950000,80.07387609649123,59.488063839859336,212.25020288090892,4.558290641009622,6.135684647302905,1.719668556476232,0.22209432179366034,-1.4344551659213933,ASML
2017,FY,21.062819916240112,4.967892042810609,4.184737087017218,3.3517915309446256,7.650767798976268,24.839925546765937,11.561423918101443,24.839925546765937,6.921824104234528,62165137413.96,62931437413.96,29.114433033889096,6.866951375702545,34.56306983985321,43.15225420932944,5.822777525145651,5.822777525145651,6.951599219463591,22.370849743684904,34.98912343709552,43.684185349132306,0.03434722561267133,0.023173760405401988,0.7043892021505779,0.4132795498010596,0.27240410934556186,2.695173404350818,-49.62624254473161,0.8489969317913618,0.008311732612433159,0.24199138254027724,0,0.1391503181336161,0.3136389615528346,-0.19904370065606583,-0.03954577589254153,-0.8574850299401198,0.00586558854718982,52.69294583267475,0.1680433538658319,0.17096234376626393,-2.974464867380177,5665100000,4969100000,1486800000,0.2833686143009685,1593238500,715248500,2869639000,79.25509234711912,61.41647073008983,217.00046220936073,4.605382306557461,5.943031171623074,1.6820240670632773,0.1999962533485697,-0.8329455560725919,ASML
2016,FY,15.965112781954888,3.4583975563909775,3.914252819548872,3.1512781954887217,9.532114661654136,23.074438439849622,8.514245770676691,23.074438439849622,7.878545582706767,45154593792,45567190792,30.677884271557602,6.645510210232839,27.10512705518799,33.667709868295475,4.59800225589765,4.59800225589765,6.706233103430412,21.886784405004924,27.352798292340623,33.97534625524909,0.032596772031216324,0.02970204994375603,0.7520487031134219,0.42923961062099353,0.19817815029179375,2.6084982728748067,49.27279752704791,1.1318111222683156,0.009874189147926595,0.30291923195556203,0,0.16273780117361164,0.3601552973414272,-0.19492216247495356,-0.04779011802049582,-0.9097689169804555,0.007020270938512546,42.373495065879034,0.11904420458637889,0.1336974185910747,-2.402702655075188,5276833000,3623663000,1171949000,0.3380145025482968,1192704000,506045500,2677304000,65.57761122113065,57.73365371898358,270.6524940057681,5.565923997585145,6.322135816600556,1.3485927825672324,0.14988003133451405,-0.7629746240601504,ASML
2015,FY,14.601428239665584,3.2214909428704135,4.704087320018579,3.838137482582443,7.916202972596377,19.481725499303298,11.672338597306085,19.481725499303298,2.5851602415234556,35174822399.64,33845790399.64,25.35718114644594,5.5945163760138374,17.365308899001768,21.283221294365227,4.193054121562349,4.193054121562349,5.383135314760135,18.505190790999837,16.709184727159627,20.47906422309648,0.03943656016907699,0.04698536871694098,0.5848490689584759,0.36902508914796817,-0.7266484380168498,2.480616135830266,-94.77051165607024,1.460220563534207,0.008594499684043721,0.21793228535136905,0,0.16987645877651644,0.2529307378072304,-0.1840845584968256,-0.059305831129843535,-1.2559720294795274,0.009395017793594307,37.5779795966813,0.15362746971664998,0.13966279140127436,1.5393758708778449,4600529000,5026109000,2801501000,0.134665366366303,1249109500,457565000,2561783500,67.61014175232111,45.080467185256886,276.9792616000974,5.398598354328539,8.09663303842977,1.317788190680452,0.16535963115718985,-0.8659498374361356,ASML
2014,FY,13.396738359617698,2.7374171321904552,2.345247082183821,1.5188977494727114,6.300815295716266,17.185697096138096,10.136786215920685,17.185697096138096,2.667439870797132,39106287445.7118,37840937445.7118,32.68007708727086,6.677670377564415,38.144809380467734,58.89731743368234,5.205433471773623,5.205433471773623,6.461603070638872,24.568974157580225,36.91056962767659,56.991595221668014,0.030599683021846593,0.01697870197782756,0.6244657301942472,0.3844129910451088,-0.8215534167168769,2.473702010231679,107.63325778561236,0.856737197486295,0.006852146227687574,0.2239286669340821,0,0.1833989409995463,0.2524900759549474,-0.3523506495279973,-0.061682874631783985,-1.418576522517711,0.010822575503173774,32.53458909132085,0.13765161715301458,0.13117356183619308,0.7734454708081127,4257335000,4431215000,2454851000,0.15362704473423947,1295400000,561053000,2471429500,83.11758818785383,55.56181886393553,285.4963798002579,4.3913689985212825,6.569259384647627,1.2784750554643296,0.1592846142275833,-0.8263493327111099,ASML
2013,FY,12.204960792982293,2.3628685110640575,2.452877120320171,1.9530655932242829,7.005091095236987,16.107282965307025,9.624226912069247,16.107282965307025,2.565511785373572,29295218758.520004,28039094758.520004,28.84835769778137,5.585013926402287,27.789763879856537,34.901478084751766,4.231928882532095,4.231928882532095,5.345539011020479,21.901059906894062,26.598190959662222,33.40496820649798,0.034664018329088685,0.028652081656017132,0.6632504755918698,0.39876764523746866,-0.9811460466685725,2.4490792045487426,37.41335237415209,1.0380929403539179,0.007376118327744367,0.21278889993993047,0,0.16815523000858287,0.24199134424725957,-0.20376541611291504,-0.040951506159960314,-0.9389312643426948,0.00998431746663601,29.263224594091735,0.12121915973140296,0.11635510575929645,1.2999860390441398,4156917000,4136204000,2434275000,0.1552302393365795,1122863000,407415500,2124996000,87.48405342203706,74.45820882484851,284.691919725273,4.17218893869928,4.902078706440634,1.282087669900235,0.14669566035149234,-0.4998115270958885,ASML
